,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time
0,200000,600000000,165000000,14426.656,212.701,4041.464,12715.806,2349.642,152.392,60558,26989,10421
1,200000,600000000,165000000,14090.86,35.091,4025.397,12979.838,2371.612,153.822,59814,26600,10401
2,200000,600000000,206000000,13906.032,31.617,3894.473,9412.836,2359.577,145.369,52305,26268,9529
3,200000,600000000,206000000,14069.236,29.732,3909.478,9586.179,2302.087,144.729,52877,26118,9819
4,200000,600000000,275000000,13651.293,29.488,3746.502,7371.586,2252.178,138.749,47113,25575,9177
5,200000,600000000,275000000,13642.262,29.756,3799.672,7135.727,2249.336,139.997,47009,25457,9413
6,200000,600000000,413000000,13429.264,27.929,3697.636,5364.511,2231.89,134.812,42331,24699,9132
7,200000,600000000,413000000,13375.623,27.902,3663.768,5385.851,2192.351,132.673,42196,24736,8913
8,200000,600000000,543000000,13307.508,26.974,3599.875,4577.375,2157.286,132.601,40384,24626,8618
9,200000,600000000,543000000,13321.349,26.828,3595.087,4555.022,2157.729,134.281,40375,24291,8979
10,200000,600000000,633000000,13640.479,26.869,3570.738,4312.789,2145.972,132.626,40025,24395,8804
11,200000,600000000,633000000,13279.587,27.275,3578.176,4305.298,2151.712,130.994,39741,24496,8681
12,200000,600000000,728000000,13201.285,26.1,3570.518,4118.996,2154.457,129.781,39111,24453,8551
13,200000,600000000,728000000,13210.083,26.14,3534.507,4042.935,2169.819,130.936,39003,24038,8894
14,200000,600000000,825000000,13211.697,26.288,3556.58,3874.596,2168.694,129.634,38715,24144,8791
15,200000,600000000,825000000,13196.123,26.694,3538.032,3873.585,2144.666,130.718,38625,24095,8733
16,200000,543000000,165000000,14119.769,33.372,4102.796,12849.79,2422.873,152.548,59773,26613,10475
17,200000,543000000,165000000,14288.857,33.107,4089.659,12664.47,2375.803,152.745,60250,26594,10669
18,200000,543000000,206000000,13892.114,30.217,3944.17,9974.179,2309.599,143.72,53102,26028,9961
19,200000,543000000,206000000,13861.941,31.213,3899.076,9692.182,2309.802,143.837,52464,26223,9598
20,200000,543000000,275000000,13652.314,30.338,3797.108,7159.452,2264.498,149.415,46650,25247,9563
21,200000,543000000,275000000,13632.894,28.34,3788.868,7160.383,2246.578,138.567,46496,25561,9159
22,200000,543000000,413000000,13389.141,28.281,3716.099,5220.682,2248.235,135.061,42323,25088,8814
23,200000,543000000,413000000,13389.099,27.497,3645.854,5250.224,2183.746,134.144,42456,24675,9160
24,200000,543000000,543000000,13302.645,27.526,3600.095,4535.73,2176.345,133.86,40625,24537,8961
25,200000,543000000,543000000,13301.247,27.293,3615.053,4549.018,2167.718,133.681,40457,24461,8922
26,200000,543000000,633000000,13284.669,27.656,3651.963,4324.041,2184.566,132.052,40082,24485,9010
27,200000,543000000,633000000,13285.314,26.902,3629.772,4325.274,2171.17,132.252,39910,24523,8843
