Index,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime,ActivePower,IdlePower
0,200000.0,600000000.0,165000000.0,8294.003,126.079,3920.946,9885.082,2392.2329999999997,91.676,46363.0,19438.0,10767.0,405.0,46822.0,4.362,2.189
1,200000.0,600000000.0,206000000.0,8027.128000000001,37.391999999999996,3921.07,7844.768,2344.717,87.863,40930.0,19075.0,10068.0,47290.0,88265.0,4.483,2.19
2,200000.0,600000000.0,275000000.0,7865.654,36.395,3826.2309999999998,6070.097,2308.035,84.314,36717.0,18457.0,9720.0,88666.0,125422.0,4.477,2.205
3,200000.0,600000000.0,413000000.0,7695.94,33.226,3746.202,4696.073,2271.814,80.307,33387.0,17890.0,9513.0,125765.0,159189.0,4.659,2.227
4,200000.0,600000000.0,543000000.0,7500.646,31.497,3715.935,4068.8709999999996,2238.505,78.447,31822.0,17584.0,9332.0,159512.0,191367.0,5.081,2.264
5,200000.0,600000000.0,633000000.0,7513.715999999999,31.305999999999997,3703.453,3844.7990000000004,2193.752,78.543,31200.0,17610.0,9342.0,191668.0,222899.0,5.137,2.307
6,200000.0,600000000.0,728000000.0,7502.625,30.730999999999998,3858.282,3630.93,2251.6,79.892,30859.0,17630.0,9617.0,223209.0,254099.0,5.256,2.317
7,200000.0,600000000.0,825000000.0,7587.846,33.186,3791.222,3541.263,2199.4629999999997,77.023,30656.0,17969.0,9429.0,254432.0,285116.0,5.35,2.356
8,200000.0,543000000.0,165000000.0,8138.82,38.879,4266.338,9976.65,2469.899,91.62100000000001,45693.0,21553.0,10803.0,285544.0,331292.0,3.849,2.144
9,200000.0,543000000.0,206000000.0,7967.222,36.689,4153.434,7897.39,2432.219,87.26799999999999,41342.0,20243.0,10239.0,331745.0,373135.0,3.954,2.15
10,200000.0,543000000.0,275000000.0,7820.085,34.708,3941.5809999999997,6133.443,2343.22,84.39299999999999,36978.0,18887.0,9936.0,373526.0,410544.0,4.006,2.159
11,200000.0,543000000.0,413000000.0,7596.047,32.9,3779.7859999999996,4706.005,2225.552,81.27199999999999,33203.0,18688.0,9325.0,410891.0,444130.0,4.211,2.198
12,200000.0,543000000.0,543000000.0,7510.446,31.521,3736.417,4076.9040000000005,2206.565,78.199,31506.0,18932.0,9296.0,444457.0,475997.0,4.281,2.222
13,200000.0,543000000.0,633000000.0,7561.934,31.568,3774.163,3833.008,2228.35,77.969,31612.0,18216.0,9409.0,476300.0,507944.0,4.476,2.26
14,200000.0,543000000.0,728000000.0,7498.456999999999,30.936,3902.615,3687.917,2263.613,77.458,31306.0,18308.0,9505.0,508238.0,539574.0,4.546,2.302
15,200000.0,543000000.0,825000000.0,7435.125,30.93,3833.185,3476.4770000000003,2201.472,77.189,30326.0,18530.0,9299.0,539854.0,570210.0,4.796,2.325
16,200000.0,480000000.0,165000000.0,8196.646999999999,39.54,4392.729,9798.08,2544.532,93.219,45853.0,20724.0,10811.0,570630.0,616537.0,3.629,2.157
17,200000.0,480000000.0,206000000.0,7997.354,37.126,4082.805,8065.138000000001,2381.562,87.296,41239.0,19838.0,10012.0,616991.0,658277.0,3.663,2.16
18,200000.0,480000000.0,275000000.0,7837.99,34.983000000000004,3959.1420000000003,6072.361999999999,2324.041,84.23,37279.0,19517.0,10158.0,658675.0,695993.0,3.855,2.135
19,200000.0,480000000.0,413000000.0,7627.376,33.109,3897.5240000000003,4787.217000000001,2302.197,79.726,33498.0,18265.0,9701.0,696340.0,729874.0,3.802,2.151
20,200000.0,480000000.0,543000000.0,7468.453,31.754,3863.54,4134.057,2252.636,78.71,32073.0,18440.0,9451.0,730197.0,762306.0,4.069,2.188
21,200000.0,480000000.0,633000000.0,7529.451999999999,32.455,3857.784,3811.6940000000004,2231.845,78.02199999999999,31592.0,18396.0,9372.0,762610.0,794234.0,4.348,2.263
22,200000.0,480000000.0,728000000.0,7490.059,30.441,3753.099,3653.053,2207.5,77.48,30596.0,18116.0,9184.0,794526.0,825152.0,4.387,2.273
23,200000.0,480000000.0,825000000.0,7468.142,30.623,3767.81,3554.914,2199.7070000000003,77.202,31054.0,18449.0,9230.0,825434.0,856517.0,4.594,2.357
24,200000.0,420000000.0,165000000.0,8169.465999999999,38.742,4256.934,9793.242,2451.326,95.691,45696.0,20744.0,10795.0,856934.0,902683.0,3.418,2.145
25,200000.0,420000000.0,206000000.0,8215.063,44.287,4036.758,7736.592,2344.89,87.85,41617.0,19667.0,10476.0,903136.0,944799.0,3.605,2.189
26,200000.0,420000000.0,275000000.0,7841.706,35.063,4016.337,6054.272,2295.0229999999997,83.87,37169.0,19561.0,10184.0,945191.0,982399.0,3.57,2.108
27,200000.0,420000000.0,413000000.0,7659.735,32.459,4004.038,4712.747,2288.433,80.593,33846.0,18449.0,9781.0,982745.0,1016628.0,3.722,2.157
28,200000.0,420000000.0,543000000.0,7509.996,31.603,3895.469,4208.693,2231.014,79.072,32348.0,18602.0,9380.0,1016951.0,1049332.0,4.006,2.185
29,200000.0,420000000.0,633000000.0,7554.355,31.892,3879.3709999999996,3928.638,2251.613,78.068,31657.0,18713.0,9388.0,1049639.0,1081328.0,3.959,2.224
30,200000.0,420000000.0,728000000.0,7480.670999999999,31.261999999999997,3744.9240000000004,3719.577,2205.5370000000003,77.124,31154.0,18138.0,9476.0,1081619.0,1112802.0,4.055,2.315
31,200000.0,420000000.0,825000000.0,7504.526999999999,30.837,3906.3779999999997,3781.638,2306.39,76.991,31333.0,18277.0,9307.0,1113083.0,1144445.0,4.327,2.336
32,200000.0,350000000.0,165000000.0,8193.238000000001,39.27,4312.884,9626.863000000001,2477.587,91.016,45657.0,21625.0,11016.0,1144870.0,1190581.0,3.136,2.087
33,200000.0,350000000.0,206000000.0,7967.0419999999995,37.796,4095.83,7677.476,2357.175,87.43799999999999,40485.0,20134.0,10238.0,1191045.0,1231577.0,3.215,2.117
34,200000.0,350000000.0,275000000.0,7822.308000000001,34.889,4053.5029999999997,6238.793000000001,2314.565,84.71799999999999,37561.0,19311.0,10506.0,1231973.0,1269572.0,3.37,2.127
35,200000.0,350000000.0,413000000.0,7655.33,33.101,3863.4629999999997,4725.89,2283.176,80.006,33572.0,18706.0,9449.0,1269921.0,1303530.0,3.475,2.115
36,200000.0,350000000.0,543000000.0,7521.854,31.734,3891.6240000000003,4253.933,2245.774,78.583,32603.0,18712.0,9420.0,1303858.0,1336497.0,3.665,2.165
37,200000.0,350000000.0,633000000.0,7508.424,31.930999999999997,3820.901,4050.304,2211.651,78.297,31996.0,18371.0,9505.0,1336806.0,1368833.0,3.804,2.218
38,200000.0,350000000.0,728000000.0,7492.4619999999995,31.474,3860.178,3955.2670000000003,2227.999,77.189,31820.0,18565.0,9211.0,1369133.0,1400983.0,3.946,2.241
39,200000.0,350000000.0,825000000.0,7443.525,31.104,3785.942,3992.7509999999997,2217.189,76.87,31678.0,18192.0,9374.0,1401268.0,1432975.0,3.79,2.266
40,200000.0,266000000.0,165000000.0,8209.89,39.016,4381.854,9425.303,2512.117,91.694,46430.0,20880.0,11505.0,1433398.0,1479882.0,2.967,2.106
41,200000.0,266000000.0,206000000.0,7992.406999999999,36.556999999999995,4190.512,7673.826999999999,2440.7129999999997,87.323,40835.0,19827.0,10512.0,1480338.0,1521218.0,3.108,2.119
42,200000.0,266000000.0,275000000.0,7754.4580000000005,34.412,4012.8520000000003,6113.585999999999,2330.8520000000003,84.12899999999999,37280.0,19258.0,10172.0,1521614.0,1558934.0,3.118,2.111
43,200000.0,266000000.0,413000000.0,7648.906999999999,32.357,3931.94,4833.984,2257.4970000000003,79.722,34056.0,18561.0,9809.0,1559280.0,1593372.0,3.234,2.102
44,200000.0,266000000.0,543000000.0,7491.6630000000005,31.566999999999997,3857.947,4715.98,2255.34,78.087,33376.0,18312.0,9636.0,1593695.0,1627104.0,3.39,2.151
45,200000.0,266000000.0,633000000.0,7533.531999999999,31.423000000000002,3921.51,4732.305,2262.28,78.885,33479.0,18351.0,9782.0,1627408.0,1660919.0,3.46,2.193
