RestPower,GPUPower,MemPower,CPUPower,Power-UX,Total,GPU,CPU,Mem,UX,MemFreq,CPUBig,CPUSmall,GPUFreq
4.5,6.6,6.9,10.1,6.2,38254,2319,25857,1945,8133,165,1.4,1,177
4.5,6.8,6.8,10.5,6.1,41679,2194,28241,2270,8974,206,1.4,1,177
4.5,7.9,8.1,10.7,6.7,50193,2673,33143,3664,10713,543,1.4,1,177
4.6,8.1,8,10.7,6.6,51245,2762,33658,3997,10828,633,1.4,1,177
4.8,8.5,8.4,11.2,6.8,52866,2739,34595,4416,11116,933,1.4,1,177
4.5,7.1,6.8,10.2,7,38321,2376,25881,1871,8193,165,1.4,1,350
4.6,7.8,8.2,10.8,6.7,53216,4880,33103,3636,11597,543,1.4,1,350
4.8,8.4,8.4,11.3,7.1,55614,5306,34148,4416,11744,933,1.4,1,350
4.5,8.5,6.8,10.3,6.6,38062,2547,25111,1932,8472,165,1.4,1,543
4.6,10,8.4,11.1,6.8,55232,6561,32898,3798,11975,543,1.4,1,543
4.8,10.9,8.6,11.4,7.1,58712,7944,34096,4280,12392,933,1.4,1,543
4.8,8.1,7.4,13.6,6.8,42189,1905,30043,2019,8222,165,1.7,1.2,177
4.9,9.7,7.9,14.5,7.4,56568,2656,38633,3971,11308,543,1.7,1.2,177
5.1,10.3,8.8,15.1,7.7,60211,2719,41074,4674,11744,933,1.7,1.2,177
4.8,8.3,7.3,13.9,7.1,43924,2381,30777,1909,8857,165,1.7,1.2,350
4.8,9.7,7.8,14.5,7.3,59719,4870,38853,3926,12070,543,1.7,1.2,350
5.1,10.2,9.1,15.1,7.7,63217,5353,40713,4768,12383,933,1.7,1.2,350
4.8,9,7.9,13.9,7.7,43168,2500,30766,1490,8412,165,1.7,1.2,543
4.9,10.1,8.5,14.4,7.6,61457,6619,38916,2941,12981,543,1.7,1.2,543
5.1,11.2,9.5,15.4,8.1,65627,7969,40681,3745,13232,933,1.7,1.2,543
5.2,11.3,9.1,21.2,9.1,47533,1922,35766,1553,8292,165,2,1.4,177
5.4,13.2,10.5,21.3,9.2,62695,2696,44515,3983,11501,543,2,1.4,177
5.5,14.5,11.4,22.5,9.6,66115,2769,45741,4857,12748,933,2,1.4,177
5.3,10.5,9.3,21.1,8.7,47202,2375,34333,1956,8538,165,2,1.4,350
5.3,13.5,10.8,21.3,9.1,65262,4891,44124,3928,12319,543,2,1.4,350
5.5,14.5,11.8,22.5,9.7,69955,5316,46737,5014,12888,933,2,1.4,350
5.2,10.1,9.4,20.8,8.9,48331,2446,35032,2082,8771,165,2,1.4,543
5.3,13.4,10.7,21.2,9.3,67769,6593,43910,3866,13400,543,2,1.4,543
5.6,14.6,11.8,22.6,9.9,72735,8015,46146,4703,13871,933,2,1.4,543
