,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time
0,200000.0,177000000.0,165000000.0,17.122,3232.926,114.049,117.57084,2.376,137.763,12070.0,9911.0,1002.0
1,200000.0,177000000.0,165000000.0,15.972,3253.065,139.91,122.21668,2.291,138.527,12348.0,9731.0,1195.0
2,200000.0,177000000.0,165000000.0,16.011,3161.753,101.148,118.0044,2.29,140.232,11979.0,9879.0,964.0
3,200000.0,177000000.0,543000000.0,12.972,2680.476,68.152,105.90236,1.7,112.017,10464.0,8965.0,720.0
4,200000.0,177000000.0,543000000.0,12.33,2713.038,69.109,106.12656,1.83,112.439,10480.0,8855.0,843.0
5,200000.0,177000000.0,543000000.0,13.134,2684.038,68.15,106.35028,1.535,111.928,10444.0,8911.0,764.0
6,200000.0,177000000.0,825000000.0,11.805,2621.075,63.842,104.804,1.443,108.894,10277.0,8764.0,770.0
7,200000.0,177000000.0,825000000.0,11.969,2617.851,63.052,104.76382,1.464,109.642,10269.0,8773.0,747.0
8,200000.0,177000000.0,825000000.0,12.241,2618.935,63.859,104.62792,1.628,109.157,10273.0,8808.0,710.0
9,200000.0,420000000.0,165000000.0,15.502,3191.636,101.558,117.08738,2.038,137.857,11998.0,9776.0,1098.0
10,200000.0,420000000.0,165000000.0,15.454,3157.118,101.243,116.93352,2.431,138.785,11840.0,9773.0,1086.0
11,200000.0,420000000.0,165000000.0,15.189,3157.662,100.758,116.93902,2.036,137.616,11846.0,9891.0,961.0
12,200000.0,420000000.0,543000000.0,12.123,2671.777,69.103,105.64016,1.617,112.733,10432.0,8850.0,800.0
13,200000.0,420000000.0,543000000.0,11.953,2681.886,68.401,105.91304,1.709,112.58,10444.0,8880.0,794.0
14,200000.0,420000000.0,543000000.0,11.978,2683.651,67.734,105.84536,1.583,111.778,10451.0,8888.0,778.0
15,200000.0,420000000.0,825000000.0,11.539,2648.574,63.343,104.50334,1.638,108.723,10291.0,8730.0,804.0
16,200000.0,420000000.0,825000000.0,11.643,2614.693,62.914,104.42812,1.465,109.412,10264.0,8726.0,763.0
17,200000.0,420000000.0,825000000.0,12.007,2614.19,63.37,104.25088,1.742,108.964,10261.0,8765.0,711.0
18,200000.0,600000000.0,165000000.0,15.376,3151.141,101.026,117.62384,2.045,144.46,11941.0,9847.0,1044.0
19,200000.0,600000000.0,165000000.0,15.996,3155.688,101.378,117.71718,2.015,140.056,11960.0,9816.0,1062.0
20,200000.0,600000000.0,165000000.0,15.804,3154.534,98.615,118.3896,2.411,138.927,11927.0,9884.0,1010.0
21,200000.0,600000000.0,543000000.0,11.93,2671.859,77.452,105.57706,1.547,113.553,10424.0,8933.0,753.0
22,200000.0,600000000.0,543000000.0,13.062,2680.548,69.279,105.69862,1.786,111.796,10435.0,8955.0,728.0
